angle_deg,epsilon,ridge,budget,static,constructive,best_of_static_constructive,gain,epsilon_threshold
15,0.0,0.0,1.0,0.07001309333024867,0.07129032862666691,0.07001309333024867,0.9820840312981742,0.0
15,0.0,0.0,1.25,0.04282837351595903,0.04323977005306272,0.04282837351595903,0.9904856909137391,0.0
15,0.0,0.0,1.5,0.026198950664418314,0.0262262462561067,0.026198950664418314,0.9989592261346959,0.0
15,0.0,0.0,1.75,0.01602640865315278,0.015907022443502377,0.015907022443502377,1.0075052518517802,0.020216775062906964
15,0.0,0.0,2.0,0.009803666475340225,0.009648096816721163,0.009648096816721163,1.0161243882160722,0.017346243910452957
15,0.0,0.0,2.25,0.005997093824311178,0.005851866527217245,0.005851866527217245,1.0248172606840014,0.011745322384753525
15,0.0,0.0,2.5,0.0036685391560450017,0.0035493364653033533,0.0035493364653033533,1.033584500062735,0.007473604674674676
15,0.0,0.0,2.75,0.002244116889563781,0.002152781387842549,0.002152781387842549,1.042426742555948,0.004651285416161813
15,0.0,0.0,3.0,0.0013727700318332497,0.0013057279153852201,0.0013057279153852201,1.0513446298099942,0.0028684512845081806
15,0.0,0.0,3.25,0.0008397501792635133,0.000791964013923799,0.000791964013923799,1.060338808960469,0.001761718063878123
15,0.0,0.0,3.5,0.0005136915486357006,0.00048035045583386707,0.00048035045583386707,1.0694099326791622,0.0010798767050898329
15,0.0,0.0,3.75,0.0003142351304660329,0.00029134727887017957,0.00029134727887017957,1.0785586592214298,0.0006612859732062383
15,0.0,0.0,4.0,0.0001922237527194196,0.0001767110572586106,0.0001767110572586106,1.087785652473952,0.00040475124644882946
15,0.0,0.0,4.25,0.00011758701534973888,0.00010718067413758202,0.00010718067413758202,1.097091582002916,0.0002476702578222218
15,0.0,0.0,4.5,7.193026867518254e-05,6.500836499311242e-05,6.500836499311242e-05,1.1064771231025958,0.00015153018856981241
15,0.0,0.0,4.75,4.4001147033922446e-05,3.942956650611213e-05,3.942956650611213e-05,1.1159429568443684,9.270258251659649e-05
15,0.0,0.0,5.0,2.6916359078870748e-05,2.391524098513535e-05,2.391524098513535e-05,1.12548977012612,5.6710913599553564e-05
15,0.0,0.0,5.25,1.6465261360213283e-05,1.4505326891900753e-05,1.4505326891900753e-05,1.135118255722102,3.4692179715868746e-05
