total_budget,sigma,n_per_coordinate,query_price,query_cost,planning_cost,pilot_cost,remaining_budget,trial,task,offset,state_error,state_radius,coverage,full_static_lower,candidate_upper,accepted,false_accept,candidate_risk,fallback_risk,selected_risk,full_static_numeric,net_gain
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,0,0,-0.06,0.0032817210222618907,0.02413725245658695,1,0.0004003955758580651,0.0024559187270606934,0,0,0.0013117443071670872,0.0005441625666607276,0.0005441625666607276,0.0005300886374268787,0.9741365354838462
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,1,1,-0.045,0.0005165708412995261,0.02413725245658695,1,0.00041176435019617784,0.001645126650152563,0,0,0.0008600658764521485,0.0005468110442167036,0.0005468110442167036,0.0005349712302114809,0.9783475221825797
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,2,2,-0.03,0.01351876314600169,0.02413725245658695,1,0.00040522210436476835,0.0010837038265327054,0,0,0.0005396698723598804,0.0005503970744417483,0.0005503970744417483,0.000538471679042777,0.9783331054020101
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,3,3,-0.015,0.012376104864326297,0.02413725245658695,1,0.0004351762588497176,0.000826139191316739,0,0,0.0003508446296678847,0.0005541174136792309,0.0005541174136792309,0.000540577093549485,0.9755641678180789
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,4,4,0.0,0.00975451977473509,0.02413725245658695,1,0.00041841345362635715,0.0005409138401392962,0,0,0.0002937600783492608,0.0005603342388509861,0.0005603342388509861,0.0005412797551389132,0.9659944326244533
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,5,5,0.015,0.011632569167641044,0.02413725245658695,1,0.00042904084393771116,0.0009511918632448491,0,0,0.0003508446296678845,0.000565105695588493,0.000565105695588493,0.0005405770935494873,0.9565946649795096
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,6,6,0.03,0.012352961810825536,0.02413725245658695,1,0.00041981549563826657,0.0015114471610687492,0,0,0.0005396698723598816,0.0005699150248680654,0.0005699150248680654,0.0005384716790427769,0.9448280103993263
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,7,7,0.045,0.0018099113413931503,0.02413725245658695,1,0.0004120658290695244,0.0015890502946972927,0,0,0.0008600658764521482,0.0005474705642348547,0.0005474705642348547,0.0005349712302114757,0.9771689386792
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,8,8,0.06,0.005075955573076417,0.02413725245658695,1,0.0004085982568590267,0.0021033855350634807,0,0,0.0013117443071670907,0.0005441081753710982,0.0005441081753710982,0.0005300886374268776,0.9742339141758735
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,9,0,-0.06,0.007247158768862685,0.02413725245658695,1,0.0003977396784525288,0.002671489676203099,0,0,0.0013117443071670872,0.000551114112762652,0.000551114112762652,0.0005300886374268787,0.9618491436730304
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,10,1,-0.045,0.002107488864620791,0.02413725245658695,1,0.00041438035221155484,0.0016558412072446174,0,0,0.0008600658764521485,0.0005468110442167036,0.0005468110442167036,0.0005349712302114809,0.9783475221825797
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,11,2,-0.03,0.009977489237219639,0.02413725245658695,1,0.0004082715859068833,0.0013123893011979402,0,0,0.0005396698723598804,0.0005549371447854046,0.0005549371447854046,0.000538471679042777,0.9703291338535378
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,12,3,-0.015,0.00985729292389905,0.02413725245658695,1,0.00043444006905227054,0.0006272170142711525,0,0,0.0003508446296678847,0.0005556910078313438,0.0005556910078313438,0.000540577093549485,0.9728015856494729
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,13,4,0.0,0.006395184031315507,0.02413725245658695,1,0.00042229820701006007,0.0005228828616744401,0,0,0.00029376007834926073,0.0005568580072223358,0.0005568580072223358,0.0005412797551389132,0.972024731832216
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,14,5,0.015,0.005926959383094639,0.02413725245658695,1,0.0004294806706658487,0.0006318681222103502,0,0,0.0003508446296678845,0.0005556910078313446,0.0005556910078313446,0.0005405770935494873,0.9728015856494757
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,15,6,0.03,0.008007650301800322,0.02413725245658695,1,0.00042152864500986627,0.0013355470960718229,0,0,0.0005396698723598816,0.000554937144785404,0.000554937144785404,0.0005384716790427769,0.9703291338535388
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,16,7,0.045,0.0069148931422371995,0.02413725245658695,1,0.00040461077179399765,0.0018448297461518869,0,0,0.0008600658764521482,0.0005517650962887356,0.0005517650962887356,0.0005349712302114757,0.969563377259239
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,17,8,0.06,0.005225368116029152,0.02413725245658695,1,0.0004000360756116323,0.002205753572108761,0,0,0.0013117443071670907,0.0005423950120167849,0.0005423950120167849,0.0005300886374268776,0.9773110476363922
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,18,0,-0.06,0.01119539672242145,0.02413725245658695,1,0.00039460880023095817,0.002138729717891135,0,0,0.0013117443071670872,0.0005441081753710987,0.0005441081753710987,0.0005300886374268787,0.9742339141758747
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,19,1,-0.045,0.013171477210404006,0.02413725245658695,1,0.00041092331563812414,0.0021931171046409956,0,0,0.0008600658764521485,0.0005671495933994071,0.0005671495933994071,0.0005349712302114809,0.9432630058058333
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,20,2,-0.03,0.01307728374463509,0.02413725245658695,1,0.0004089894881198538,0.0015406995212989486,0,0,0.0005396698723598804,0.0005772335956730113,0.0005772335956730113,0.000538471679042777,0.9328488207879848
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,21,3,-0.015,0.007165879230106716,0.02413725245658695,1,0.0004182517937971139,0.0008630630494582277,0,0,0.0003508446296678847,0.0005602826532353117,0.0005602826532353117,0.000540577093549485,0.9648292525709329
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,22,4,0.0,0.006778358676705204,0.02413725245658695,1,0.00042193341983345813,0.0005265781974828156,0,0,0.0002937600783492608,0.000556858007222336,0.000556858007222336,0.0005412797551389132,0.9720247318322156
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,23,5,0.015,0.0073153076714675275,0.02413725245658695,1,0.00041622699585619244,0.0007805127791212029,0,0,0.0003508446296678845,0.0005541174136792303,0.0005541174136792303,0.0005405770935494873,0.9755641678180839
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,24,6,0.03,0.007433255088974794,0.02413725245658695,1,0.0004146091625594244,0.0009769881693361328,0,0,0.0005396698723598816,0.0005531552587351629,0.0005531552587351629,0.0005384716790427769,0.9734548673984202
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,25,7,0.045,0.004651153689309849,0.02413725245658695,1,0.0004072548968998256,0.0016538340354116225,0,0,0.0008600658764521482,0.0005468110442167036,0.0005468110442167036,0.0005349712302114757,0.9783475221825702
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,26,8,0.06,0.0063267615041478365,0.02413725245658695,1,0.00039693820970116274,0.0025732865426629004,0,0,0.0013117443071670907,0.0005470597436329394,0.0005470597436329394,0.0005300886374268776,0.9689775999722456
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,27,0,-0.06,0.005206221624212231,0.02413725245658695,1,0.0004047621087464843,0.0025252108411019337,0,0,0.0013117443071670872,0.0005441625666607276,0.0005441625666607276,0.0005300886374268787,0.9741365354838462
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,28,1,-0.045,0.007195043979912147,0.02413725245658695,1,0.0004111753601900044,0.001942296352544163,0,0,0.0008600658764521485,0.000555732072337284,0.000555732072337284,0.0005349712302114809,0.9626423538262104
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,29,2,-0.03,0.004039255038608725,0.02413725245658695,1,0.0004230602760634124,0.0010400052210643466,0,0,0.0005396698723598804,0.000551198196826005,0.000551198196826005,0.000538471679042777,0.9769111766756281
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,30,3,-0.015,0.013205667847661577,0.02413725245658695,1,0.00043840544099911445,0.0006403244271453966,0,0,0.0003508446296678847,0.0005556910078313438,0.0005556910078313438,0.000540577093549485,0.9728015856494729
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,31,4,0.0,0.010955140418825771,0.02413725245658695,1,0.00041944487443727285,0.0005973970319417354,0,0,0.00029376007834926073,0.0005649699105210776,0.0005649699105210776,0.0005412797551389132,0.9580682883442151
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,32,5,0.015,0.012182328543385555,0.02413725245658695,1,0.0004315461079960364,0.0009199079058478402,0,0,0.0003508446296678845,0.0005602826532353121,0.0005602826532353121,0.0005405770935494873,0.9648292525709362
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,33,6,0.03,0.01148043893721451,0.02413725245658695,1,0.00043167895647088373,0.0010530248516028285,0,0,0.0005396698723598816,0.0005511981968260052,0.0005511981968260052,0.0005384716790427769,0.9769111766756275
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,34,7,0.045,0.004933966899265359,0.02413725245658695,1,0.00041769696452656436,0.0015443005392190778,0,0,0.0008600658764521482,0.0005492835158085706,0.0005492835158085706,0.0005349712302114757,0.9739437190718776
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,35,8,0.06,0.003899246996362525,0.02413725245658695,1,0.00040443077623026973,0.002474231828129217,0,0,0.0013117443071670907,0.000544162566660727,0.000544162566660727,0.0005300886374268776,0.9741365354838454
