mass_exponent,spectral_exponent,ridge,blocks,budget,static,curriculum_candidate,gain,p1,p2,fraction,capacity_tail
0.5,1.0,0.0,2048,4.0,0.129807733674906,0.1297987190858244,1.0000694505242045,0.5447753510480894,0.0,0.8532988808259672,0.00845758625542258
0.5,1.0,0.0,2048,16.0,0.06494854994716735,0.06494854976579525,1.0000000027925504,0.5009146633581681,0.2806558333393506,0.9918575733111313,0.00845758625542258
0.5,1.0,0.0,2048,64.0,0.03260353807494196,0.03260353795699217,1.000000003617699,0.5010945514265018,0.26585851955936524,0.9908689839594658,0.00845758625542258
0.5,1.0,0.0,2048,256.0,0.01679259820661977,0.016792598123607894,1.000000004943361,0.5012728839642138,0.2658546542333127,0.9893724423062572,0.00845758625542258
0.5,1.0,0.1,2048,4.0,0.12282415633344135,0.12281366130690881,1.0000854548787232,0.5624615219264475,0.0,0.8226256321106278,0.00845758625542258
0.5,1.0,0.1,2048,16.0,0.06145502677550066,0.0614524551958298,1.0000418466546643,0.5442301590785658,0.0,0.8692655381670213,0.00845758625542258
0.5,1.0,0.1,2048,64.0,0.030871624304866264,0.030870351005888565,1.0000412466634234,0.5440188758828808,0.0,0.8697921619277638,0.00845758625542258
0.5,1.0,0.1,2048,256.0,0.015979768554436304,0.015979118252113525,1.0000406970092166,0.5442945439451307,0.0,0.8688441198756599,0.00845758625542258
1.0,1.0,0.0,2048,4.0,0.04448198521391816,0.04446975286675884,1.000275071174692,0.5422255228494687,0.0,0.8416474280062846,0.0001483834732197942
1.0,1.0,0.0,2048,16.0,0.011129593696785945,0.011129593696785945,1.0,0.5,0.5,0.5,0.0001483834732197942
1.0,1.0,0.0,2048,64.0,0.0027860394917115935,0.0027860394917115926,1.0000000000000002,0.5000000192111932,0.499999929007065,0.605974398274601,0.0001483834732197942
1.0,1.0,0.0,2048,256.0,0.0007102977882436759,0.0007102977882436759,1.0,0.5,0.5,0.5,0.0001483834732197942
1.0,1.0,0.1,2048,4.0,0.03982549830388655,0.039816932245787195,1.0002151360643878,0.549311760452974,0.0,0.8365551482408699,0.0001483834732197942
1.0,1.0,0.1,2048,16.0,0.009962640815661986,0.00996235728536687,1.0000284601612845,0.5213133895275207,0.0,0.9227870216888244,0.0001483834732197942
1.0,1.0,0.1,2048,64.0,0.0024947192186042144,0.0024946504224196133,1.0000275774849987,0.5210575818879536,0.0,0.9236248875416212,0.0001483834732197942
1.0,1.0,0.1,2048,256.0,0.0006389535582488185,0.0006389465897473374,1.0000109062347198,0.5141142631845579,0.2205755519722277,0.9097514514519739,0.0001483834732197942
2.0,1.0,0.0,2048,4.0,0.008904473244212148,0.008876567878381019,1.003143711197105,0.5531959785938527,0.0,0.7657658098386094,4.956133764863125e-08
2.0,1.0,0.0,2048,16.0,0.0005575503093607417,0.0005575503093607414,1.0000000000000007,0.4999999958148388,0.5000000001312616,0.2576858369587963,4.956133764863125e-08
2.0,1.0,0.0,2048,64.0,3.4848587773176467e-05,3.4848587773176467e-05,1.0,0.5,0.5,0.5,4.956133764863125e-08
2.0,1.0,0.0,2048,256.0,2.1844443820604003e-06,2.1844443820604003e-06,1.0,0.5,0.5,0.5,4.956133764863125e-08
2.0,1.0,0.1,2048,4.0,0.007127244439507273,0.00711686117668881,1.0014589666091105,0.5480010464266974,0.0,0.8016664228208383,4.956133764863125e-08
2.0,1.0,0.1,2048,16.0,0.0004467408922595171,0.0004467408922595171,1.0,0.5,0.5,0.5,4.956133764863125e-08
2.0,1.0,0.1,2048,64.0,2.7923185104606177e-05,2.7923185104606177e-05,1.0,0.5,0.5,0.5,4.956133764863125e-08
2.0,1.0,0.1,2048,256.0,1.7522921835608333e-06,1.7522921835608333e-06,1.0,0.5,0.5,0.5,4.956133764863125e-08
